Year,Total
1992,11314824
1992,15095770
1992,11915815
1992,6236780
1992,604115
1992,6278330
1992,2029170
1992,3567425
1992,2147000
1992,525000
1992,195457
1992,387450
1992,36479100
1992,19650100
1992,8500
1992,4030900
1992,7490156
1992,4690852
1992,26445
1992,15400
1992,2582600
1992,15148
1992,4459555
1992,34844
1992,32000
1992,132000
1992,2458000
1992,1754000
1992,4000
1992,9040000
1992,2714000
1992,4876300
1992,5011000
1992,4864000
1992,2804000
1992,2499000
1992,2438000
1992,4539000
1992,4540000
1992,4853500
1992,5792400
1992,3625400
1992,1586100
1992,1628300
1992,1483600
1992,1332800
1992,1987300
1992,2161200
1992,1830500
1992,2041700
1992,1728000
1992,1763000
1992,3461900
1992,3312900
1992,1795200
1992,1720200
1993,12136000
1993,6089000
1993,14629000
1993,5336000
1993,51188666
1993,71600
1993,1556495
1993,17668747
1993,18479683
1993,9545177
1993,395881
1993,11495384
1993,9682717
1993,333458
1993,15768972
1993,32660175
1993,12060809
1993,14942130
1993,668860
1993,5725790
1993,8661860
1993,1301730
1993,2993015
1993,1191585
1993,6440000
1993,1250000
1993,47256
1993,643952
1993,36530800
1993,25912100
1993,2898500
1993,1961000
1993,34835
1993,2187474
1993,50083
1993,10915917
1993,6526
1993,11676165
1993,131600
1993,2301000
1993,2139000
1993,88000
1993,6790000
1993,5023600
1993,7570000
1993,5071400
1993,10524878
1993,3134972
1993,2979593
1993,2917339
1993,5040600
1993,5051300
1993,3122350
1993,4767700
1993,2906472
1993,1746900
1993,1744780
1993,1822540
1993,1755380
1993,2060864
1993,2167416
1993,1969690
1993,1969690
1993,2647522
1993,2843680
1993,2715608
1993,2687948
1993,2346412
1993,2914830
1994,3549822
1994,6014869
1994,12190000
1994,6000000
1994,43000000
1994,54070
1994,1372
1994,260384
1994,31912325
1994,2905206
1994,6464450
1994,2934969
1994,2934969
1994,5833126
1994,14635458
1994,4331649
1994,4331249
1994,6906660
1994,235150
1994,6838780
1994,1995945
1994,14400
1994,1200
1994,8000
1994,8500
1994,1000
1994,6600
1994,20000
1994,2669000
1994,1944840
1994,178125
1994,807500
1994,33155175
1994,27067798
1994,1188500
1994,3676500
1994,46593
1994,10254707
1994,2821922
1994,11230000
1994,46578
1994,31600
1994,2874550
1994,2104800
1994,201000
1994,347000
1994,3654283
1994,7871015
1994,3789154
1994,4740877
1994,9583515
1994,7695135
1994,3171836
1994,3385712
1994,4762631
1994,4574196
1994,7603462
1994,4622729
1994,1830957
1994,1808628
1994,1920272
1994,1883058
1994,3671269
1994,2601712
1994,2794867
1994,2861794
1994,1801518
1994,2534011
1994,2572522
1994,3266245
1994,2595629
1995,14198765
1995,6031975
1995,31030000
1995,7920000
1995,6394000
1995,4410000
1995,6234000
1995,6590000
1995,7057000
1995,6993000
1995,6116000
1995,4410000
1995,5635000
1995,6281
1995,471105
1995,34472077
1995,8931491
1995,11825076
1995,11411420
1995,15703316
1995,8539515
1995,28970413
1995,150000
1995,6260447
1995,8187992
1995,1640215
1995,14400
1995,1200
1995,8000
1995,8500
1995,1000
1995,6600
1995,20000
1995,190000
1995,493131
1995,394504
1995,37035400
1995,33854350
1995,5330800
1995,2765000
1995,50000
1995,50000
1995,9084000
1995,5962000
1995,8802000
1995,193000
1995,2832000
1995,2317000
1995,182000
1995,7130000
1995,7776720
1995,2945755
1995,7247243
1995,2791900
1995,5870244
1995,10254182
1995,2783912
1995,2795000
1995,5208850
1995,5058263
1995,9974997
1995,2990000
1995,2497453
1995,1196106
1995,1196107
1995,2594440
1995,2058463
1995,2426012
1995,2391115
1995,2426012
1995,3855681
1995,2253281
1995,1894970
1995,2475663
1995,2429304
1995,2788878
1996,26826900
1996,9057793
1996,4180000
1996,8000000
1996,15692000
1996,13618000
1996,43170000
1996,13580
1996,415298
1996,17489823
1996,17489823
1996,8536780
1996,5737228
1996,5737229
1996,7710622
1996,7710623
1996,19569902
1996,8743899
1996,2934744
1996,21670244
1996,6744470
1996,958100
1996,28914232
1996,470000
1996,14250
1996,49715678
1996,26956000
1996,4842000
1996,50015
1996,9644985
1996,4862000
1996,11724831
1996,50169
1996,8404000
1996,185900
1996,944000
1996,1966000
1996,1917000
1996,80000
1996,3540000
1996,7900000
1996,2363800
1996,11052530
1996,10950403
1996,5330325
1996,5348485
1996,5366923
1996,5328898
1996,2155385
1996,2355200
1996,4588089
1996,2202943
1996,2367486
1996,2803218
1996,2396745
1996,2542440
1996,2560962
1996,3098635
1996,2577103
1996,2340614
1996,2859666
1996,2653360
1996,2850230
1996,2634779
1996,2967036
1997,22938000
1997,36189000
1997,22285000
1997,300000
1997,34535728
1997,7759020
1997,12166444
1997,12983190
1997,2723869
1997,10616086
1997,5901486
1997,25938500
1997,75880
1997,6177285
1997,36244635
1997,1000000
1997,28200
1997,170000
1997,9600
1997,37544876
1997,25021120
1997,2173000
1997,2819000
1997,16883890
1997,1039862
1997,2799000
1997,50110
1997,12760000
1997,50138
1997,276000
1997,684000
1997,942000
1997,2766000
1997,3400000
1997,6700000
1997,2662149
1997,2662149
1997,2662149
1997,5401865
1997,8257815
1997,10554000
1997,5268800
1997,5128550
1997,4895100
1997,5306750
1997,10541500
1997,5282600
1997,5265800
1997,3147003
1997,2584300
1997,2330040
1997,3050208
1997,3059533
1997,3049734
1997,2491238
1997,2829149
1997,2755037
1998,17972664
1998,27882072
1998,29922114
1998,24500
1998,350000
1998,49155073
1998,7211676
1998,24246804
1998,13993898
1998,8709149
1998,717257
1998,6360760
1998,47528211
1998,330000
1998,482840
1998,240400
1998,140120
1998,37809253
1998,25882728
1998,2824000
1998,864000
1998,875000
1998,11647000
1998,10164000
1998,12946000
1998,128000
1998,81000
1998,1864200
1998,505350
1998,1670000
1998,4500000
1998,2578761
1998,2119328
1998,2502358
1998,2637300
1998,5202350
1998,2571000
1998,11195093
1998,5839786
1998,2576260
1998,5816474
1998,5634241
